year,ticker,log_scope1,log_scope2,log_total_emissions,log_energy_consumption,change_scope1,change_scope2,change_total_emissions,change_energy_consumption,scope1_int,scope2_int,total_emissions_int,energy_consumption_int,table
2009,24,12.538632615384616,11.236339844755244,13.197578185314685,14.98534335709091,,,,,6.227937501193007,0.8184478753818182,7.267520667202797,66.63333070385455,log
2010,23,11.75968274851852,11.185879021851852,12.712520548148149,14.534632965185185,0.0673442943135135,-0.019773606419819817,0.015938538889189193,0.012869219881081083,4.885145713865185,0.8679328277244444,5.7669680029629635,53.315235368555555,log
2011,31,11.656934488760808,10.852756898559077,12.507184005763687,14.55768546884273,-0.019783185415254236,0.00154690876694915,-0.03429701555932203,0.049639773981779656,3.795661088308357,0.6348790434760807,4.420723431757925,59.82793216884273,log
2012,31,11.893122674885845,10.84897226849315,12.54449600456621,14.509416680365296,0.05042774659675676,0.06989768066108108,0.05683585065513514,0.07646107829670329,3.382980920308676,0.8450379337808219,4.230818231159817,50.238577637671234,log
2013,35,11.826593707769423,10.763074254521964,12.570460536340851,14.680996719298244,0.05020621997159091,-0.03925348614129411,-0.028378460378977274,-0.049326822984090905,3.850892468353885,0.6945419223684209,4.553931691072681,48.82105777934837,log
2014,32,11.892019943631436,11.220137288826816,12.667098718157181,14.923076040650406,0.0011688136650289023,-0.015758472065373133,-0.009487278579768785,0.03126835185693642,3.1358584385804877,0.710621716311111,3.8467692742493225,43.11274904189702,log
2015,38,11.808950036956523,11.267523654975124,12.634477893719808,14.843658753623188,0.030657628991412743,-0.009405156229799424,0.019414513070637122,0.02413879567479224,3.6560185871270527,0.8390376740408212,4.463447183222223,48.17789405152174,log
2016,36,11.724697863902438,11.50820074798995,12.60871478292683,14.797621502439025,0.05694490629095744,-0.05099795085601093,0.019390165936170215,0.024046861942021273,3.2542676137131705,0.907975808915122,4.160877231087805,46.034882559951214,log
2017,35,11.33221784765625,10.95299955,12.38642462109375,14.573154593749999,-0.021653107086721992,-0.018405372249913045,-0.020773839258091283,-0.015496570585062243,3.9573526686656253,0.7953629352578124,4.769777492671875,52.265438744765625,log
2018,36,11.645244834673367,11.17462553919598,12.599092399497486,14.698065977386936,0.02154074078906336,-0.01450466534550964,0.025855985256198345,0.0779070649509642,3.872363305410553,0.846297345982412,4.6229990742462315,46.91649832030151,log
2019,40,11.785199925663719,11.068312019911504,12.665786871681417,14.809503840707965,-0.031157844442969075,0.009578768652628867,-0.014438319796494844,0.000714973590206184,3.5673920418699114,0.8144168276756637,4.406797921176991,43.24552646097345,log
2020,40,11.83653927653277,10.844294771881607,12.651530158562366,14.783045393234673,-0.04157146953898305,-0.05291923201653753,-0.050491213720048424,-0.06684989875569007,3.6880655671949256,0.7079430030646934,4.398295544930233,36.142228661606765,log
2021,38,11.976493061883408,10.778496042825113,12.765457141255606,14.864585389461883,0.0368358226735426,0.017789966674439467,0.020293146630493274,-0.00945845165556054,3.8872083928681613,0.6974547883816143,4.595247871600897,42.974064574573994,log
2009,30,933676.0171232877,196485.91780821918,1130161.9349315069,17238479.010676157,,,,,6.227937501193007,0.8184478753818182,7.267520667202797,66.63333070385455,exp
2010,31,778434.2086330935,174018.6762589928,952452.8848920864,11802299.118705036,6489.508771929824,-324.5,6718.565789473684,-580780.245614035,4.885145713865185,0.8679328277244444,5.7669680029629635,53.315235368555555,exp
2011,44,712089.3638888889,152787.78055555557,864877.1444444444,14907071.454285715,-8073.399176954733,-386.06584362139915,-8400.45267489712,-89461.44855967078,3.795661088308357,0.6348790434760807,4.420723431757925,59.82793216884273,exp
2012,47,821212.5914893617,134324.27234042552,955536.8638297872,14865846.978723405,7660.658291457286,-1264.8341708542714,13512.065326633166,-13131.423469387755,3.382980920308676,0.8450379337808219,4.230818231159817,50.238577637671234,exp
2013,47,1088082.9562043797,138241.800486618,1226324.7566909976,11803566.333333334,-19088.151933701658,-4199.6988950276245,-22273.2817679558,-689791.8259668509,3.850892468353885,0.6945419223684209,4.553931691072681,48.82105777934837,exp
2014,45,1115879.9764397906,162968.6884816754,1278848.664921466,12430546.295811519,-23209.980446927373,-6625.391061452514,-28170.81005586592,-307616.83240223466,3.1358584385804877,0.710621716311111,3.8467692742493225,43.11274904189702,exp
2015,48,1535695.9174528301,164819.0400943396,1700514.9575471699,14949334.603773585,6930.7972972972975,4630.581081081081,13471.981081081081,131344.3135135135,3.6560185871270527,0.8390376740408212,4.463447183222223,48.17789405152174,exp
2016,46,1679283.4047619049,174565.06666666668,1853848.4714285715,15905385.419047618,27183.805194805194,-1800.4753246753246,33160.854545454546,260699.16363636364,3.2542676137131705,0.907975808915122,4.160877231087805,46.034882559951214,exp
2017,46,2239532.880149813,145026.7191011236,2384559.5992509364,19190965.88764045,4102.00796812749,-2885.167330677291,1939.8964143426294,47150.90836653386,3.9573526686656253,0.7953629352578125,4.769777492671875,52.265438744765625,exp
2018,47,1681579.9951100245,155553.1760391198,1837133.1711491442,15776595.845965771,1971.2734584450402,-4849.032171581769,-3193.946380697051,180249.54423592493,3.872363305410553,0.846297345982412,4.6229990742462315,46.91649832030151,exp
2019,50,1621596.9372294373,200662.96536796537,1822259.9025974027,16029402.850649351,-13873.073232323231,-4735.681818181818,-15109.290404040405,-193150.89141414143,3.5673920418699114,0.8144168276756637,4.406797921176991,43.24552646097345,exp
2020,50,1603597.1780538303,195075.65217391305,1798672.8302277434,15814287.349896481,-5324.36170212766,-7885.156028368794,-13277.971631205673,-17245.27659574468,3.6880655671949256,0.7079430030646934,4.398295544930233,36.142228661606765,exp
2021,48,1647594.5570175438,203694.25877192983,1851288.8157894737,16472189.635964911,-4304.364835164835,-524.7450549450549,-2794.147252747253,-126177.69450549451,3.8872083928681613,0.6974547883816143,4.595247871600897,42.974064574573994,exp
